Aquamarine 127 255 212
Azure2 224 238 238
DeepSkyBlue 0 191 255
SpringGreen3 0 205 102
DarkOliveGreen3 162 205 90
MediumSeaGreen 60 179 113
grey6 156 156 156
Honeydew4 131 139 131
Goldenrod4 139 105 20
SaddleBrown 139 69 19
DodgerBlue 30 144 255
SpringGreen4 0 139 69
DarkSeaGreen2 180 238 180
SlateGray2 185 211 238
RoyalBlue3 58 95 205
PaleVioletRed2 238 121 159
Brown2 238 59 59
LightBlue4 104 131 139
lavender 230 230 250
VioletRed 208 32 144
SlateBlue3 105 89 205
Orange2 238 154 0
Blue 0 0 255
Green4 0 139 0
Red 255 0 0
IndianRed3 205 85 85
Green3 0 205 0
LightGray 211 211 211
MediumOrchid3 180 82 205
WhiteSmoke 245 245 245
DarkSlateGray4 82 139 139
Khaki 255 246 143
LightYellow2 238 238 209
grey3 79 79 79
RoyalBlue4 39 64 139
Firebrick2 238 44 44
MediumAquamarine 102 205 170
MediumOrchid 186 85 211
GhostWhite 248 248 255
AntiqueWhite2 238 223 204
LavenderBlush4 139 131 134
CadetBlue4 83 134 139
LavenderBlush 255 240 245
LightSkyBlue2 164 211 238
SkyBlue2 126 192 238
Tan 210 180 140
OrangeRed2 238 64 0
DeepPink2 238 18 137
Azure 240 255 255
DeepSkyBlue3 0 154 205
DodgerBlue4 16 78 139
SlateGray 198 226 255
LightGoldenrod3 205 190 112
LightSteelBlue2 188 210 238
Yellow3 205 205 0
SlateGray3 159 182 205
Coral 255 127 80
Snow 255 250 250
Honeydew2 224 238 224
White 255 255 255
Khaki3 205 198 115
Coral3 205 91 69
OliveDrab 107 142 35
Black 0 0 0
LightYellow4 139 139 122
LightSteelBlue3 162 181 205
DeepPink 255 20 147
Tomato2 238 92 66
PaleGreen 152 251 152
SandyBrown 244 164 96
LightSkyBlue 135 206 250
Bisque2 238 213 183
SkyBlue4 74 112 139
Sienna 160 82 45
PeachPuff 255 218 185
Seashell4 139 134 130
HotPink3 205 96 144
OldLace 253 245 230
Sienna3 205 104 57
Sienna4 139 71 38
DarkOrange4 139 69 0
FloralWhite 255 250 240
OrangeRed3 205 55 0
Ivory4 139 139 131
Bisque3 205 183 158
DarkSeaGreen 143 188 143
LightCyan3 180 205 205
Plum 221 160 221
Tan3 205 133 63
Wheat4 139 126 102
DodgerBlue3 24 116 205
MediumPurple3 137 104 205
Chartreuse2 118 238 0
Pink3 205 145 158
RosyBrown 188 143 143
HotPink4 139 58 98
Brown4 139 35 35
Azure4 131 139 139
MintCream 245 255 250
Green2 0 238 0
OrangeRed 255 69 0
gray8 207 207 207
Salmon4 139 76 57
DarkGoldenrod4 139 101 8
AntiqueWhite4 139 131 120
LavenderBlush3 205 193 197
DeepPink4 139 10 80
PaleTurquoise3 150 205 205
Burlywood4 139 115 85
RosyBrown3 205 155 155
SeaGreen 46 139 87
DarkOrchid3 154 50 205
DarkOrange2 238 118 0
AntiqueWhite 250 235 215
DarkSlateGray 47 79 79
Red3 205 0 0
Burlywood2 238 197 145
MediumVioletRed 199 21 133
DarkCyan 0 139 139
MediumPurple 147 112 219
Ivory2 238 238 224
DodgerBlue2 28 134 238
Gold2 238 201 0
Orchid3 205 105 201
Turquoise2 0 229 238
Honeydew3 193 205 193
MediumTurquoise 72 209 204
MedSpringGreen 0 250 154
LightSkyBlue3 141 182 205
LightBlue3 154 192 205
LightSteelBlue 176 196 222
Firebrick 178 34 34
Snow2 238 233 233
Tomato3 205 79 57
DarkSeaGreen3 155 205 155
DarkMagenta 139 0 139
Seashell 255 245 238
Aquamarine4 69 139 116
DarkOliveGreen 85 107 47
PaleGreen3 124 205 124
Purple 160 32 240
Tan4 139 90 43
Orchid 218 112 214
DarkViolet 148 0 211
DarkGoldenrod2 238 173 14
Plum4 139 102 139
Chartreuse3 102 205 0
Chocolate 210 105 30
Sienna2 238 121 66
DarkRed 139 0 0
LavenderBlush2 238 224 229
LemonChiffon4 139 137 112
Red4 139 0 0
goldenrod 218 165 32
LightBlue 173 216 230
Chocolate3 205 102 29
SpringGreen 0 255 127
Blue2 0 0 238
MidnightBlue 25 25 112
SeaGreen3 67 205 128
DarkOrchid 153 50 204
Purple2 145 44 238
LightSlateBlue 132 112 255
Firebrick3 205 38 38
Maroon 176 48 96
Magenta2 238 0 238
